"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.35500580061346,
"BEL","VAACTY","AGRFORTFISH","PC_VA","A","2021",0.744605233158537,"E"
"CZE","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.03109674936601,
"DNK","VAACTY","AGRFORTFISH","PC_VA","A","2021",0.998084123979668,
"FIN","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.64834105823505,
"FRA","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.85039327454515,
"DEU","VAACTY","AGRFORTFISH","PC_VA","A","2021",0.940321313018882,"E"
"GRC","VAACTY","AGRFORTFISH","PC_VA","A","2021",4.43211317343465,"E"
"HUN","VAACTY","AGRFORTFISH","PC_VA","A","2021",3.9643673512106,"E"
"IRL","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.08072783688155,
"ITA","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.15231267825091,
"LUX","VAACTY","AGRFORTFISH","PC_VA","A","2021",0.214950919860132,"E"
"NLD","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.73716566740628,"E"
"POL","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.55662103337329,
"PRT","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.52939336574031,"E"
"SVK","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.95768748198952,
"ESP","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.8889298328113,"E"
"SWE","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.45364795796039,
"EST","VAACTY","AGRFORTFISH","PC_VA","A","2021",2.30496283711361,
"SVN","VAACTY","AGRFORTFISH","PC_VA","A","2021",1.92244746232319,
"LVA","VAACTY","AGRFORTFISH","PC_VA","A","2021",4.68619956220403,
"LTU","VAACTY","AGRFORTFISH","PC_VA","A","2021",3.70858807792724,
"AUT","VAACTY","CONSTR","PC_VA","A","2021",7.24659168547178,
"BEL","VAACTY","CONSTR","PC_VA","A","2021",5.43140252761647,"E"
"CZE","VAACTY","CONSTR","PC_VA","A","2021",5.59472686300524,
"DNK","VAACTY","CONSTR","PC_VA","A","2021",5.56300942681363,
"FIN","VAACTY","CONSTR","PC_VA","A","2021",7.72841998990409,
"FRA","VAACTY","CONSTR","PC_VA","A","2021",5.65931002376428,
"DEU","VAACTY","CONSTR","PC_VA","A","2021",5.51782424605663,"E"
"GRC","VAACTY","CONSTR","PC_VA","A","2021",1.84353322502394,"E"
"HUN","VAACTY","CONSTR","PC_VA","A","2021",6.11873567870161,"E"
"IRL","VAACTY","CONSTR","PC_VA","A","2021",2.17159261602733,
"ITA","VAACTY","CONSTR","PC_VA","A","2021",4.98525417933877,
"LUX","VAACTY","CONSTR","PC_VA","A","2021",5.80152057025936,"E"
"NLD","VAACTY","CONSTR","PC_VA","A","2021",5.25857501796571,"E"
"POL","VAACTY","CONSTR","PC_VA","A","2021",6.91202447795092,
"PRT","VAACTY","CONSTR","PC_VA","A","2021",4.81268614848894,"E"
"SVK","VAACTY","CONSTR","PC_VA","A","2021",6.02777025932449,
"ESP","VAACTY","CONSTR","PC_VA","A","2021",5.57922053160489,"E"
"SWE","VAACTY","CONSTR","PC_VA","A","2021",6.71856165142378,
"EST","VAACTY","CONSTR","PC_VA","A","2021",6.69597623004263,
"SVN","VAACTY","CONSTR","PC_VA","A","2021",6.1557955048431,
"LVA","VAACTY","CONSTR","PC_VA","A","2021",5.4922435447167,
"LTU","VAACTY","CONSTR","PC_VA","A","2021",7.10435678775966,
"AUT","VAACTY","INDUSENRG","PC_VA","A","2021",21.6310617181309,
"BEL","VAACTY","INDUSENRG","PC_VA","A","2021",16.5978210819486,"E"
"CZE","VAACTY","INDUSENRG","PC_VA","A","2021",27.715245413606,
"DNK","VAACTY","INDUSENRG","PC_VA","A","2021",16.6733171250919,
"FIN","VAACTY","INDUSENRG","PC_VA","A","2021",20.6557753200863,
"FRA","VAACTY","INDUSENRG","PC_VA","A","2021",13.1309850539433,
"DEU","VAACTY","INDUSENRG","PC_VA","A","2021",24.0344912349508,"E"
"GRC","VAACTY","INDUSENRG","PC_VA","A","2021",15.6890582169802,"E"
"HUN","VAACTY","INDUSENRG","PC_VA","A","2021",22.5416266546763,"E"
"IRL","VAACTY","INDUSENRG","PC_VA","A","2021",37.9582427377326,
"ITA","VAACTY","INDUSENRG","PC_VA","A","2021",20.1051693688048,
"LUX","VAACTY","INDUSENRG","PC_VA","A","2021",6.55109078047806,"E"
"NLD","VAACTY","INDUSENRG","PC_VA","A","2021",15.0218211192765,"E"
"POL","VAACTY","INDUSENRG","PC_VA","A","2021",25.1206986590401,
"PRT","VAACTY","INDUSENRG","PC_VA","A","2021",17.8889902242964,"E"
"SVK","VAACTY","INDUSENRG","PC_VA","A","2021",25.6209188966997,
"ESP","VAACTY","INDUSENRG","PC_VA","A","2021",16.9413423312186,"E"
"SWE","VAACTY","INDUSENRG","PC_VA","A","2021",18.7964748174078,
"EST","VAACTY","INDUSENRG","PC_VA","A","2021",19.66160367898,
"SVN","VAACTY","INDUSENRG","PC_VA","A","2021",26.2543262174885,
"LVA","VAACTY","INDUSENRG","PC_VA","A","2021",17.1864488061696,
"LTU","VAACTY","INDUSENRG","PC_VA","A","2021",21.214180837652,
"AUT","VAACTY","MFG","PC_VA","A","2021",18.4952351081442,
"BEL","VAACTY","MFG","PC_VA","A","2021",13.8327320520902,"E"
"CZE","VAACTY","MFG","PC_VA","A","2021",23.1990787215965,
"DNK","VAACTY","MFG","PC_VA","A","2021",13.760824927757,
"FIN","VAACTY","MFG","PC_VA","A","2021",16.9313019136341,
"FRA","VAACTY","MFG","PC_VA","A","2021",10.0174036842761,
"DEU","VAACTY","MFG","PC_VA","A","2021",20.8408174513521,"E"
"GRC","VAACTY","MFG","PC_VA","A","2021",9.90212969262773,"E"
"HUN","VAACTY","MFG","PC_VA","A","2021",20.033428493162,"E"
"IRL","VAACTY","MFG","PC_VA","A","2021",36.7564991364989,
"ITA","VAACTY","MFG","PC_VA","A","2021",16.623460583771,
"LUX","VAACTY","MFG","PC_VA","A","2021",5.34551293004001,"E"
"NLD","VAACTY","MFG","PC_VA","A","2021",12.1593728526393,"E"
"POL","VAACTY","MFG","PC_VA","A","2021",19.2217981340119,
"PRT","VAACTY","MFG","PC_VA","A","2021",14.3500262378535,"E"
"SVK","VAACTY","MFG","PC_VA","A","2021",22.1593761574911,
"ESP","VAACTY","MFG","PC_VA","A","2021",12.7609372980494,"E"
"SWE","VAACTY","MFG","PC_VA","A","2021",14.2859475530084,
"EST","VAACTY","MFG","PC_VA","A","2021",14.508152249679,
"SVN","VAACTY","MFG","PC_VA","A","2021",22.7892086454315,
"LVA","VAACTY","MFG","PC_VA","A","2021",13.6516463422953,
"LTU","VAACTY","MFG","PC_VA","A","2021",18.0443666579939,
"AUT","VAACTY","SERV","PC_VA","A","2021",69.7673407957838,
"BEL","VAACTY","SERV","PC_VA","A","2021",77.2261711572764,"E"
"CZE","VAACTY","SERV","PC_VA","A","2021",64.6589309740227,
"DNK","VAACTY","SERV","PC_VA","A","2021",76.7655893241149,
"FIN","VAACTY","SERV","PC_VA","A","2021",68.9674636317746,
"FRA","VAACTY","SERV","PC_VA","A","2021",79.3593567583856,
"DEU","VAACTY","SERV","PC_VA","A","2021",69.5073632059737,"E"
"GRC","VAACTY","SERV","PC_VA","A","2021",78.0352953845612,"E"
"HUN","VAACTY","SERV","PC_VA","A","2021",67.3752703154115,"E"
"IRL","VAACTY","SERV","PC_VA","A","2021",58.7894368091094,
"ITA","VAACTY","SERV","PC_VA","A","2021",72.7572637736056,
"LUX","VAACTY","SERV","PC_VA","A","2021",87.4324377294025,"E"
"NLD","VAACTY","SERV","PC_VA","A","2021",77.9824381953515,"E"
"POL","VAACTY","SERV","PC_VA","A","2021",65.4106558296357,
"PRT","VAACTY","SERV","PC_VA","A","2021",74.7689302614744,"E"
"SVK","VAACTY","SERV","PC_VA","A","2021",66.3936233619863,
"ESP","VAACTY","SERV","PC_VA","A","2021",74.5905073043652,"E"
"SWE","VAACTY","SERV","PC_VA","A","2021",73.031315573208,
"EST","VAACTY","SERV","PC_VA","A","2021",71.3374572538637,
"SVN","VAACTY","SERV","PC_VA","A","2021",65.6674308175248,
"LVA","VAACTY","SERV","PC_VA","A","2021",72.6351047015926,
"LTU","VAACTY","SERV","PC_VA","A","2021",67.9728742966611,